id,distance,duration
8864274,149,41
8869066,49,7
8869806,253,51
8886022,369,127
8889145,640,134
8903225,94,38
8904047,184,41
8907289,80,26
8908249,165,36
8915995,85,34
8916368,3,1
8926150,289,95
8974563,230,47
8987674,211,56
8993289,244,69
8993301,109,25
8993307,368,112
8993612,117,31
9010937,188,53
9021715,216,42
9030129,407,122
9051149,52,13
9051457,86,19
9059999,183,51
9063798,625,149
9108108,1589,179
9110654,460,116
9110718,542,166
9119249,256,97
9127072,6,1
9130888,143,40
9150171,71,36
9150562,170,55
9150693,104,30
9156193,927,287
9157940,544,169
9180885,72,16
9186305,161,59
9187534,327,96
9197404,8,1
9216997,133,24
9231212,414,96
9239118,756,204
9242011,327,77
9256506,217,57
9261548,194,40
9275385,62,25
9280940,1180,204
9295965,141,47
9296524,181,50
9298491,104,22
9309449,67,20
9316584,77,39
9328077,523,104
9346814,114,18
9364688,177,51
9402993,9,2
9416254,453,82
9433478,141,47
9462355,276,69
9464763,47,15
9465008,83,16
9471413,185,70
9477823,548,73
9488665,838,212
9489347,79,18
9494726,75,22
9495318,100,13
9496930,460,97
9497588,846,263
9504910,59,18
9514196,140,47
9525734,515,112
9525911,845,205
9532943,411,135
9587361,249,59
9593326,74,12
9605720,290,161
9608262,201,41
9611854,360,43
9650878,175,42
9652136,1609,225
9695480,254,63
9716652,323,93
9717679,75,19
9730358,890,203
9735841,56,9
9752553,71,16
9775864,91,28
9779327,76,19
9779853,167,47
9841955,483,161
9844630,123,29
9882522,355,73
9882716,188,38
9888667,30,7
9903046,264,84
9909627,19,5
9910056,14,2
9921405,231,58
9924449,66,38
9937836,237,49
9949873,37,13
9972077,162,26
9974744,92,13
